index,negative,positive,sentiment_score
2,12,4,-8
3,17,11,-6
4,7,6,-1
5,14,6,-8
6,9,7,-2
7,12,4,-8
8,5,0,-5
9,9,6,-3
10,7,9,2
11,10,4,-6
12,12,6,-6
13,3,6,3
14,11,5,-6
15,11,13,2
16,10,6,-4
17,9,8,-1
18,11,5,-6
19,15,8,-7
20,16,7,-9
21,13,7,-6
22,5,4,-1
23,7,3,-4
24,4,7,3
25,1,0,-1
26,7,4,-3
27,9,6,-3
28,9,2,-7
29,12,7,-5
30,13,8,-5
31,13,7,-6
32,8,6,-2
33,8,2,-6
34,18,10,-8
35,8,4,-4
36,9,3,-6
37,7,6,-1
38,7,9,2
39,8,9,1
40,10,5,-5
41,12,5,-7
42,13,8,-5
43,10,4,-6
44,27,6,-21
45,13,6,-7
46,17,6,-11
47,24,3,-21
48,23,4,-19
49,17,6,-11
50,8,4,-4
51,22,3,-19
52,22,3,-19
53,27,2,-25
54,18,10,-8
55,23,4,-19
56,11,1,-10
57,12,4,-8
58,16,4,-12
59,15,4,-11
60,10,10,0
61,6,20,14
62,10,4,-6
63,13,8,-5
64,2,6,4
65,1,4,3
66,0,3,3
67,1,0,-1
68,3,3,0
69,27,4,-23
70,13,8,-5
71,1,2,1
72,1,6,5
